car_brand,model,price,year,location,fuel,km_driven,gear,ownership,monthly_payment
Hyundai,EonERA PLUS,330399,2016,Hyderabad,Petrol,10674,Manual,2,7350
Maruti,Wagon R 1.0LXI,350199,2011,Hyderabad,Petrol,20979,Manual,1,7790
Maruti,Alto K10LXI,229199,2011,Hyderabad,Petrol,47330,Manual,2,5098
Maruti,RitzVXI BS IV,306399,2011,Hyderabad,Petrol,19662,Manual,1,6816
Tata,NanoTWIST XTA,208699,2015,Hyderabad,Petrol,11256,Automatic,1,4642
Maruti,AltoLXI,249699,2012,Hyderabad,Petrol,28434,Manual,1,5554
Maruti,AltoLXI,240599,2011,Hyderabad,Petrol,31119,Manual,1,5352
Maruti,Alto K10LXI,191999,2010,Hyderabad,Petrol,10910,Manual,1,4271
Honda,Brio1.2 S MT I VTEC,362299,2013,Hyderabad,Petrol,40362,Manual,2,8059
Maruti,Wagon R 1.0VXI,385799,2014,Hyderabad,Petrol,15673,Manual,2,8582
Maruti,AltoLXI,229499,2011,Hyderabad,Petrol,35039,Manual,1,5105
Hyundai,i10SPORTZ 1.1 IRDE2,401599,2015,Hyderabad,Petrol,32606,Manual,2,8933
Hyundai,i10MAGNA 1.2 KAPPA2,368999,2013,Hyderabad,Petrol,35377,Manual,1,8208
Honda,Brio1.2 V MT I VTEC,405199,2012,Hyderabad,Petrol,32173,Manual,1,9013
Maruti,SwiftVXI,403899,2011,Hyderabad,Petrol,46729,Manual,1,8985
Maruti,Alto 800LXI,234999,2012,Hyderabad,Petrol,44068,Manual,2,5227
Maruti,AltoLXI,241599,2011,Hyderabad,Petrol,26790,Manual,1,5374
Hyundai,i10MAGNA 1.2 KAPPA2,328999,2012,Hyderabad,Petrol,44883,Manual,1,7318
Hyundai,i10SPORTZ 1.1 IRDE2,361899,2014,Hyderabad,Petrol,28446,Manual,1,8050
Maruti,Alto 800VXI,300599,2015,Hyderabad,Petrol,29145,Manual,1,6687
Maruti,Alto K10VXI,356099,2017,Hyderabad,Petrol,24809,Manual,2,7921
Maruti,Alto 800VXI,295099,2015,Hyderabad,Petrol,25048,Manual,2,6564
Maruti,Alto K10LXI,226699,2011,Hyderabad,Petrol,47359,Manual,2,5043
Hyundai,Santro XingGL PLUS,348899,2013,Hyderabad,Petrol,13658,Manual,2,7761
Maruti,Alto K10VXI,283199,2012,Hyderabad,Petrol,28852,Manual,2,6300
Maruti,AltoLXI,255799,2012,Hyderabad,Petrol,37800,Manual,1,5690
Hyundai,Grand i10ASTA 1.2 VTVT,535699,2017,Hyderabad,Petrol,19187,Manual,1,11916
Maruti,Alto K10LXI,283399,2013,Hyderabad,Petrol,25953,Manual,1,6304
Maruti,Eeco5 STR WITH AC PLUSHTR,452799,2019,Hyderabad,Petrol,15398,Manual,1,10072
Maruti,RitzVXI BS IV,367099,2012,Hyderabad,Petrol,24079,Manual,1,8166
Maruti,Alto 800LXI,349399,2018,Hyderabad,Petrol,18313,Manual,1,7772
Renault,KwidRXT 1.0 EASY-R AT OPTION,480999,2019,Hyderabad,Petrol,17078,Automatic,1,10700
Hyundai,i10MAGNA 1.2 KAPPA2,333899,2012,Hyderabad,Petrol,46986,Manual,1,7427
Maruti,AltoVXI,375299,2019,Hyderabad,Petrol,9222,Manual,1,8348
Maruti,AltoLXI,218699,2011,Hyderabad,Petrol,59373,Manual,2,4865
Maruti,Alto 800LXI,258199,2013,Hyderabad,Petrol,42131,Manual,1,5743
Maruti,Alto K10LXI,254299,2012,Hyderabad,Petrol,36870,Manual,2,5657
Maruti,Alto K10VXI,410699,2019,Hyderabad,Petrol,11699,Manual,1,9136
Maruti,OMNI ESTD,203699,2012,Hyderabad,Petrol,21950,Manual,1,4531
Hyundai,i10SPORTZ 1.2 KAPPA2,336299,2012,Hyderabad,Petrol,45099,Manual,1,7481
Hyundai,i10SPORTZ 1.1 IRDE2,401699,2014,Hyderabad,Petrol,27828,Manual,1,8936
